"Rank","Name","Symbol","marketcap","price (USD)","country"
"341","SMT Scharf AG","S4AA.DE","41563126","7.59563","Germany"
"342","edding AG","EDD3.F","41052131","38.2514","Germany"
"343","CeoTronics","CEK.DE","40856669","5.62842","Germany"
"344","Hoftex Group AG","NBH.MU","39571497","7.26776","Germany"
"345","Delticom AG","DEX.DE","37929482","2.55738","Germany"
"346","DATRON AG","DAR.DE","37422925","9.45355","Germany"
"347","Infas Holding AG","IFS.F","36983607","4.10929","Germany"
"348","GBK Beteiligungen AG","GBQ.HM","36885246","5.46448","Germany"
"349","KPS AG","KSC.DE","36070995","0.874317","Germany"
"350","Pantaflix AG","PAL.DE","35764319","1.39891","Germany"
"351","STS Group","SF3.DE","35245902","5.46448","Germany"
"352","Delignit AG","DLX.DE","34924903","3.40984","Germany"
"353","Artnet AG","ART.DE","34922396","6.12022","Germany"
"354","Medigene AG","MDG1.DE","33340800","1.13115","Germany"
"355","Varengold Bank AG","VG8.DE","32927869","3.27869","Germany"
"356","INTERSHOP Communications","ISHA.DE","31714511","2.17486","Germany"
"357","SGT German Private Equity","GAI.DE","31120883","0.672131","Germany"
"358","Halloren Schokoladenfabrik","H2RB.HM","29706901","5.02732","Germany"
"359","Elbstein AG","EBS.HM","29508197","0.983607","Germany"
"360","bet-at-home.com","ACX.DE","28915694","4.12022","Germany"
"361","mwb fairtrade AG","MWB0.DE","28120536","3.78142","Germany"
"362","Nebelhornbahn-Aktiengesellschaft","NHB0.MU","26596721","19.6721","Germany"
"363","hGears AG","HGEA.DE","26142077","2.51366","Germany"
"364","SM Wirtschaftsberatungs AG","SMWN.DE","26098361","6.55738","Germany"
"365","A.S. Création Tapeten","ACWN.DE","24701716","8.96175","Germany"
"366","HWA AG","H9W.DE","24405113","3.36612","Germany"
"367","Sporttotal AG","WIG1.DE","24197062","0.68306","Germany"
"368","SBF AG","CY1K.DE","23973364","2.46995","Germany"
"369","Geratherm Medical","GME.DE","21766055","4.02186","Germany"
"370","Muehlhan AG","M4N.HM","20967102","1.5082","Germany"
"371","DF Deutsche Forfait AG","DFTK.DE","20656968","1.7377","Germany"
"372","Veganz Group","VEZ.DE","19977268","15.9563","Germany"
"373","VIA optronics AG","VIAO","17465854","0.2231","Germany"
"374","Bertelsmann SE & Co. KGaA","BTG.F","11717246","139.891","Germany"
"375","Mainz Biomed","MYNZ","7890119","0.3605","Germany"
"376","HELMA Eigenheimbau","H5E.DE","1136611","0.284153","Germany"
"377","Compleo Charging Solutions","C0M.F","941926","0.185792","Germany"
"378","PREOS Real Estate","PAG.F","744049","0.00491803","Germany"
